"","yes_rsvp_count","name","time"
"1",10,"Coding for teachers",2014-12-15 12:30:00
"2",20,"Coding bootcamp Q&A",2014-12-17 13:00:00
"3",53,"Coding for beginners",2015-01-05 13:00:00
"4",6,"Coding for teachers",2015-01-07 13:30:00
"5",43,"Coding for beginners",2015-01-12 13:00:00
"6",18,"Startup tech clinic",2015-01-13 13:30:00
"7",9,"OAuth workshop",2015-01-17 05:00:00
"8",8,"Startup tech clinic",2015-01-20 13:30:00
"9",34,"Coding for everyone",2015-02-02 13:30:00
"10",10,"Startup tech clinic",2015-02-04 13:30:00
"11",23,"Coding for everyone",2015-02-09 13:30:00
"12",2,"Startup tech clinic",2015-02-10 13:30:00
"13",23,"Coding for everyone",2015-02-16 13:30:00
"14",41,"Coding for everyone",2015-02-23 13:30:00
"15",23,"Coding for everyone",2015-03-02 13:30:00
"16",7,"Build Your Responsive Website in a Day",2015-03-07 05:30:00
"17",25,"Coding for everyone",2015-03-16 14:30:00
"18",5,"Build Your Responsive Website in a Day",2015-03-28 06:30:00
"19",41,"Coding for everyone",2015-03-30 13:30:00
"20",31,"Pair programming for everyone",2015-04-20 13:30:00
"21",36,"Coding for everyone",2015-04-27 13:30:00
"22",40,"Coding for everyone",2015-05-18 13:30:00
"23",40,"Coding for everyone",2015-06-01 13:30:00
"24",40,"Coding for everyone",2015-06-08 13:30:00
"25",40,"Coding for everyone",2015-06-15 13:30:00
"26",14,"Startup tech clinic",2015-06-16 13:30:00
"27",35,"Coding for everyone",2015-06-22 13:30:00
"28",33,"Coding for everyone",2015-06-29 13:30:00
"29",25,"Coding for women",2015-07-01 13:30:00
"30",2,"Begin React Workshop",2015-07-04 05:30:00
"31",25,"Coding for everyone",2015-07-06 13:30:00
"32",28,"Coding for everyone",2015-07-13 13:30:00
"33",39,"Coding for everyone",2015-07-20 13:30:00
"34",40,"Coding for everyone",2015-07-27 13:30:00
"35",30,"Coding for women",2015-07-28 13:30:00
"36",43,"Coding for everyone",2015-08-03 13:30:00
"37",37,"Coding for everyone",2015-08-10 13:30:00
"38",28,"Coding for women",2015-08-11 13:30:00
"39",39,"Coding for everyone",2015-08-17 13:30:00
"40",39,"Coding for everyone",2015-09-21 13:30:00
"41",40,"Coding for everyone",2015-09-28 13:30:00
"42",31,"Coding for women",2015-09-29 13:30:00
"43",33,"Coding for everyone",2015-10-05 13:30:00
"44",44,"Coding for everyone at Quay House",2015-10-12 13:30:00
"45",19,"Coding for women at Quay House",2015-10-13 13:30:00
"46",39,"Coding for everyone",2015-10-19 13:30:00
"47",37,"Coding for everyone",2015-10-26 14:30:00
"48",20,"Coding for women",2015-10-27 14:30:00
"49",32,"Coding for everyone",2015-11-02 13:30:00
"50",21,"Coding for everyone: South London",2015-11-04 14:00:00
"51",26,"Coding for everyone",2015-11-09 13:30:00
"52",14,"Coding for women",2015-11-10 13:30:00
"53",40,"Coding for everyone",2015-11-16 13:30:00
